,熟語,意味
553,enable A to do,Aが〜できるようにする
554,request A to do,Aに〜するよう要請する
555,ask A to do,Aに〜するよう要求する
556,force A to do,Aに〜するよう強制する
557,compel A to do,Aに無理やり〜させる
558,authorize A to do,Aに〜する権限を与える
559,assign A to do,Aを〜する任務に就かせる
560,cause A to do,Aに〜させる
561,plead with A to do,Aに〜するように訴える
562,inspire A to do,Aに〜する気にさせる
563,motivate A to do,Aに〜させる動機を与える
564,require A to do,Aに〜するよう要求する
565,appoint A to do,Aに〜するよう任命する
566,command A to do,Aに〜するよう命令する
567,expect A to do,Aが〜することを期待する
568,direct A to do,Aに〜するよう指示する
569,prepare to do,〜する準備をする
570,manage to do,なんとか〜する
571,threaten to do,〜するぞと脅す
572,fail to do,〜できない
573,go on to do（doing）,続けて〜する（〜し続ける）
574,deserve to do,〜する価値がある
575,agree to do,〜することで意見が一致する
576,pretend to do,〜するフリをする
577,appear to do,〜するように見える
578,refuse to do,〜するのを拒否する
579,decline to do,〜することを断る
580,afford to do,〜する余裕がある
581,aim to do,〜することを目指す
582,resolve to do,〜することを決心する
583,decide to do,〜することを決心する
584,determine to do,〜することを決心する
585,choose to do,〜することを決心する
586,attempt to do,〜しようと試みる
587,propose to do(doing),〜するのを提案する
588,strive to do,〜しようと努力する
589,struggle to do,〜しようと努力する
590,endeaver to do,〜しようと努力する
591,claim to do,〜すると主張する
592,serve to do,〜するのに役立つ
593,tend to do,〜する傾向がある
594,intend to do,〜するつもり
595,mean to do,〜するつもり
596,pledge to do,〜することを誓う
597,vow to do,〜することを誓う
598,promise to do,〜することを誓う
599,swear to do,〜することを誓う
600,bear to do(doing),	〜するのを耐える	
601,regret to do(doing),	残念ながら〜する（〜したことを後悔する）	
602,hesitate to do(doing),	〜するのをためらう（〜することを嫌う）	
603,prefer to do(doing),	〜することが好き	
604,continue to do(doing),	〜し続ける	
605,bother to do(doing),	わざわざ〜する	
606,avoid doing,	〜することを避ける	
607,deny doing,	〜しなかったと言う	
608,recall doing,	〜したのを思い出す	
609,admit doing,	〜したのを認める	
610,consider doing,	〜することを検討する	
611,mind doing,	〜するのを嫌だと思う	
612,quit doing,	〜するのをやめる	
613,recommend doing,	〜することを勧める	
614,come true,実現する
615,graduate from,〜を卒業する
616,calm down,落ち着く
617,go through,〜を経験する
618,contribute to,～に貢献する
619,take down,〜を解体する
620,dispose of,〜を処分する
621,get rid of,〜を取り除く
622,do away with,〜を廃止する
623,account for,〜を占める
624,reflect on,〜を熟考する
625,figure out,〜を考え出す
626,come up with,〜を思いつく
627,turn down,音量を下げる
628,break down,故障する、（交渉が）決裂する
629,speak to,〜と話す
630,hold on,電話を切らずに待つ
631,hang up,電話を切る
632,take off,離陸する
633,look for,〜を探す
634,help oneself to,（飲食物を）自分で取って食べる
635,run short of,〜を切らす
636,rest with,〜に委ねられている
637,put away,〜を片付ける
638,pick out,〜を選ぶ
639,ask for,〜を求める
640,have trouble ~ing,〜するのが困難（難しい）
641,rely on,〜に頼る
642,depend on,〜に頼る
643,count on,〜に頼る
644,look to,〜に頼る
645,turn to,〜に頼る
646,make a difference,重要である
647,burst into,突然〜する
648,gaze（stare）at,〜をじっと見る
649,bend over,かがむ
650,take A for granted,Aを当然のことと思う
651,look up,〜を調べる
652,hear from,〜から手紙をもらう
653,bring in,〜を参加させる
654,take A into account,Aを考慮に入れる
655,take A into consideration,Aを考慮に入れる
656,take effect,実施される
657,keep track of,〜の経過を追う
658,comment on,〜について論評する
659,come to an end,終わる
660,give rise to,〜を引き起こす
661,have A in common,Aを共通にもつ
662,have nothing to do with,〜と関係ない
663,take care of,〜の世話をする
664,suffer from,〜に苦しむ
665,give A a ride,Aを車に乗せる
666,give A a hand,Aに手を貸す
667,have A in mind,Aを覚えておく（心に留めておく）
668,keep A in mind,Aを覚えておく（心に留めておく）
669,keep away,近づかない
670,set aside,〜を取っておく
671,cut down,（費用を）削減する
672,swell up,腫れ上がる
673,turn in,〜を提出する
674,hand in,〜を提出する
675,put off,〜を延期する
676,call off,〜を中止する
677,turn on,（電気など）をつける
678,turn up,音量を上げる
679,come by,立ち寄る
680,result in,〜という結果になる
681,take a look at,〜を見る
682,have a look at,〜を見る
683,take out,保険をかける
684,conflict with,〜と対立する
685,consult with,〜と話し合う
686,report to,〜の部下である
687,shut down,〜を閉鎖する
688,lead to,〜につながる
689,stand for,〜を意味する、表す
690,proceed to,〜へ進む
691,insist on,〜を強く要求する
692,make sense,意味をなす、理解する
693,take the risk of,〜の危険を冒す
694,run the risk of,〜の危険を冒す
695,seal off,〜を封鎖する
696,emphasis on,～を強調する
697,work on,〜に取り組む
698,deal in,〜を売買する
699,sell off,〜を安く売り払う
700,take over,〜を引き継ぐ、〜を買収する
701,result from,〜に起因する
702,total up,〜を合計する
703,prepare for,準備をする
704,amount to,合計〜となる
705,add up to,合計〜となる
706,deal with,〜を処理する
707,register for,〜に登録する
708,engage in,〜に従事する
709,set up,〜を設立する
710,fill in for,〜の代わりを務める
711,back up,〜を渋滞させる
712,add to,〜を増やす
713,give birth to,〜を産む
714,withdraw from,〜から退く
715,coincide with,〜と同時に起こる
716,bring A to an end,Aを終わらせる
717,write down,書き留める
718,come out,市場に出る
719,put A to use,Aを使う
720,play a role in,〜で役割を果たす
721,take the place of,〜の代わりをする
722,substitute for,〜の代わりをする
723,make the most of,〜を最大限に使う
724,get along with,〜と仲良くやっていく
725,take part in,参加する
726,point out,〜を指摘する
727,lay off,解雇する
728,agree with,〜に同意する
729,consent to,〜に同意する
730,object to,〜に反対する
731,clear up,〜を解決する
732,refer to,を参照する
733,lean against,〜に寄りかかる
734,file for,〜を申請する
735,set one’s heart on,〜を熱望する
736,think highly of,〜を高く評価する
737,commit oneself to,〜を約束する
738,apply for,〜の申し込む
739,sign up for,〜の申し込む
740,subscribe to,〜を定期購読する
741,embark on,〜に着手する
742,take on,〜を引き受ける
743,check in,宿泊手続きをする
744,get lost,道に迷う
745,pay attention to,〜に注意を払う
746,throw away,〜を捨てる
747,make it,到着する
748,get in touch with,〜と連絡を取る
749,turn out,〜が判明する
750,have access to,〜を入手できる
751,qualify as,〜の資格を得る
752,prevail over,〜に勝つ
753,comply with,〜に従う、〜に応じる
754,acquaint oneself with,〜に精通する
755,take credit for,〜の功績を認められている
756,take one’s place,〜の代理をする
757,aim at,〜を目指す
758,do business,取引をする
759,get nowhere,成功しない
760,grow up,成長する
761,make out,〜を理解する
762,benefit from,〜から利益を得る
763,call on,〜を尋ねる
764,pay off,〜を完済する
765,buy out,〜を買収する
766,bring together,〜を呼びあつめる
767,consist of,〜から成り立つ
768,specialize in,〜を専門とする
769,keep in touch with,〜と連絡を取り合っている
770,stand by,〜を支持する
771,have yet to do,まだ〜していない
772,break out,勃発する
773,cope with,〜を処理する
774,keep up with,〜に遅れずついていく
775,adapt to,〜に順応する
776,inquire about,〜を尋ねる
777,look through,〜に目を通す
778,make efforts,努力する
779,proceed with,〜を進める
780,succeed to,〜を継承する
781,get together,集まる
782,occur to one,（アイデアなどが）が〜の心に浮かぶ
783,abide by,〜に従う
784,take steps,処置をとる
785,come down with,（病気に）にかかる
786,go into,〜を調査する
787,kneel down,膝をつく
788,wear out,すり減る
789,live up to,〜に応える
790,recover from,〜から回復する
791,sum up,〜を要約する
792,irrespective of,〜に関係なく
793,in terms of,〜の点から
794,because of,〜の理由で
795,owing to,〜の理由で
796,on account of,〜の理由で
797,for the sake of,〜のために
798,for the benefit of,〜のために
799,for the good of,〜のために
800,contrary to,〜に反して
801,as for,〜に関して（言えば）
802,as to,〜に関して（言えば）
803,in case of,〜の場合
804,in the event of,〜の場合
805,thanks to,〜のおかげで
806,prior to,〜より前に
807,in pursuit of,〜を追求して
808,no later than,〜までに
809,in the process of,〜の過程で
810,in the middle of,〜の最中に
811,in excess of,〜よりも多く
812,by way of,〜経由で
813,as of,〜の時点で
814,in exchange for,〜と引き換えに
815,in place of,〜の代わりに
816,in need of,〜を必要として
817,in anticipate of,〜を見越して
818,other than,〜以外に
819,in honor of,〜に敬意を表して
820,in search of,〜を探して
821,in accordance with,〜にしたがって
822,compared to（with）,〜と比較して
823,for want of,〜不足のため
824,by the time,〜するときまでに
825,in case,〜する場合に備えて
826,in order that,〜するために
827,now that,今や〜だから
828,as if（though）,まるで〜かのように
829,as long as,〜する限り(〜するなら)
830,as far as,〜する限り(範囲)
831,considering that,〜することを考えると
